Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
1,0.8571,0.7273,1.0000,0.8421,0.7692,1.0000,0.8750,0.7795,1,11
2,0.8095,0.6667,1.0000,0.8000,0.6923,1.0000,0.9327,0.9069,2,3
3,0.9048,0.8750,0.8750,0.8750,0.9231,0.8750,0.9519,0.9324,3,12
4,0.9524,1.0000,0.8750,0.9333,1.0000,0.8750,0.9808,0.9750,4,10
5,0.8571,0.7273,1.0000,0.8421,0.7692,1.0000,0.9712,0.9526,5,6
6,0.9524,1.0000,0.8750,0.9333,1.0000,0.8750,0.9808,0.9750,6,2
7,0.8571,0.8571,0.7500,0.8000,0.9231,0.7500,0.9519,0.9207,7,8
8,0.9524,1.0000,0.8750,0.9333,1.0000,0.8750,0.9904,0.9861,8,2
9,0.9000,0.8571,0.8571,0.8571,0.9231,0.8571,0.9670,0.9478,9,10
10,0.9000,0.7778,1.0000,0.8750,0.8462,1.0000,0.9670,0.9379,10,17
11,0.9000,0.8571,0.8571,0.8571,0.9231,0.8571,0.9670,0.9379,11,6
12,0.9000,0.7778,1.0000,0.8750,0.8462,1.0000,0.9231,0.8444,12,2
13,0.8500,0.7000,1.0000,0.8235,0.7692,1.0000,0.9011,0.8330,13,8
14,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,14,1
15,0.9000,1.0000,0.7143,0.8333,1.0000,0.7143,0.9121,0.9238,15,14
16,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,16,5
17,0.9000,0.8750,0.8750,0.8750,0.9167,0.8750,0.9375,0.9116,17,8
18,0.9000,1.0000,0.7500,0.8571,1.0000,0.7500,0.9167,0.9144,18,15
19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,19,19
20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,15
