Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
1,0.9048,0.8750,0.8750,0.8750,0.9231,0.8750,0.9423,0.9363,1,21
2,0.9048,0.8000,1.0000,0.8889,0.8462,1.0000,0.9615,0.9472,2,15
3,0.9048,1.0000,0.7500,0.8571,1.0000,0.7500,0.8942,0.9000,3,2
4,0.9524,1.0000,0.8750,0.9333,1.0000,0.8750,0.9904,0.9861,4,2
5,0.9524,0.8889,1.0000,0.9412,0.9231,1.0000,0.9423,0.8755,5,1
6,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,6,6
7,0.9048,0.8750,0.8750,0.8750,0.9231,0.8750,0.9519,0.9519,7,9
8,0.8571,0.7273,1.0000,0.8421,0.7692,1.0000,0.8269,0.6440,8,7
9,0.8500,1.0000,0.5714,0.7273,1.0000,0.5714,0.8352,0.8278,9,9
10,0.8000,0.7143,0.7143,0.7143,0.8462,0.7143,0.8462,0.8145,10,1
11,0.8500,0.7000,1.0000,0.8235,0.7692,1.0000,0.8681,0.7378,11,3
12,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12,2
13,0.9000,0.8571,0.8571,0.8571,0.9231,0.8571,0.9121,0.9238,13,8
14,0.9500,0.8750,1.0000,0.9333,0.9231,1.0000,1.0000,1.0000,14,2
15,0.9000,1.0000,0.7143,0.8333,1.0000,0.7143,0.8791,0.8691,15,4
16,0.9500,0.8889,1.0000,0.9412,0.9167,1.0000,0.9792,0.9705,16,6
17,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,17,10
18,0.8500,0.8571,0.7500,0.8000,0.9167,0.7500,0.8750,0.8179,18,12
19,0.9000,0.8750,0.8750,0.8750,0.9167,0.8750,0.9062,0.8726,19,1
20,0.9500,0.8889,1.0000,0.9412,0.9167,1.0000,0.9688,0.9526,20,5
