Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
1,0.8793,0.9032,0.8750,0.8889,0.8846,0.8750,0.9207,0.9282,1,24
2,0.8966,0.9643,0.8438,0.9000,0.9615,0.8438,0.9495,0.9646,2,9
3,0.9138,0.9355,0.9062,0.9206,0.9231,0.9062,0.9675,0.9728,3,3
4,0.8621,0.9286,0.8125,0.8667,0.9231,0.8125,0.9279,0.9516,4,10
5,0.8596,0.8108,0.9677,0.8824,0.7308,0.9677,0.9727,0.9807,5,6
6,0.8947,0.8571,0.9677,0.9091,0.8077,0.9677,0.9206,0.9186,6,16
7,0.8596,0.8286,0.9355,0.8788,0.7692,0.9355,0.9355,0.9504,7,10
8,0.9474,1.0000,0.9032,0.9492,1.0000,0.9032,0.9553,0.9735,8,20
9,0.9298,0.9091,0.9677,0.9375,0.8846,0.9677,0.9839,0.9866,9,16
10,0.8947,0.9032,0.9032,0.9032,0.8846,0.9032,0.9715,0.9735,10,13
11,0.9123,0.9643,0.8710,0.9153,0.9615,0.8710,0.9702,0.9764,11,4
12,0.8947,0.9032,0.9032,0.9032,0.8846,0.9032,0.9380,0.9483,12,13
13,0.8947,0.9032,0.9032,0.9032,0.8846,0.9032,0.9206,0.9230,13,16
14,0.8947,0.8571,0.9677,0.9091,0.8077,0.9677,0.9479,0.9588,14,15
15,0.9474,0.9375,0.9677,0.9524,0.9231,0.9677,0.9640,0.9691,15,12
16,0.9298,0.9091,0.9677,0.9375,0.8846,0.9677,0.9764,0.9797,16,13
17,0.9298,0.9355,0.9355,0.9355,0.9231,0.9355,0.9839,0.9889,17,11
18,0.9474,0.9394,0.9688,0.9538,0.9200,0.9688,0.9888,0.9919,18,4
19,0.9123,0.9355,0.9062,0.9206,0.9200,0.9062,0.9612,0.9700,19,4
20,0.9123,0.9655,0.8750,0.9180,0.9600,0.8750,0.9675,0.9805,20,18
