Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
1,0.8571,1.0000,0.6250,0.7692,1.0000,0.6250,0.8462,0.8420,1,14
2,0.9524,1.0000,0.8750,0.9333,1.0000,0.8750,0.9135,0.9338,2,11
3,0.9048,1.0000,0.7500,0.8571,1.0000,0.7500,0.9808,0.9750,3,3
4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,11
5,0.9524,0.8889,1.0000,0.9412,0.9231,1.0000,0.9327,0.8339,5,9
6,0.9048,1.0000,0.7500,0.8571,1.0000,0.7500,0.8654,0.8817,6,25
7,0.8571,1.0000,0.6250,0.7692,1.0000,0.6250,0.8654,0.8676,7,2
8,0.9048,0.8750,0.8750,0.8750,0.9231,0.8750,0.9808,0.9750,8,2
9,0.9500,1.0000,0.8571,0.9231,1.0000,0.8571,0.9451,0.9405,9,4
10,0.9500,1.0000,0.8571,0.9231,1.0000,0.8571,0.9560,0.9481,10,15
11,0.7500,0.5833,1.0000,0.7368,0.6154,1.0000,0.7912,0.6512,11,5
12,0.9500,0.8750,1.0000,0.9333,0.9231,1.0000,0.9890,0.9821,12,9
13,0.9500,0.8750,1.0000,0.9333,0.9231,1.0000,1.0000,1.0000,13,4
14,0.9500,1.0000,0.8571,0.9231,1.0000,0.8571,1.0000,1.0000,14,5
15,0.8000,0.8000,0.5714,0.6667,0.9231,0.5714,0.6923,0.6412,15,1
16,0.9500,0.8889,1.0000,0.9412,0.9167,1.0000,1.0000,1.0000,16,7
17,0.9000,0.8750,0.8750,0.8750,0.9167,0.8750,0.9583,0.9415,17,3
18,0.8000,0.8333,0.6250,0.7143,0.9167,0.6250,0.8125,0.8226,18,9
19,0.9000,0.8750,0.8750,0.8750,0.9167,0.8750,0.9063,0.8478,19,6
20,0.8500,1.0000,0.6250,0.7692,1.0000,0.6250,0.9479,0.9324,20,8
