Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
1,0.8571,0.7778,0.8750,0.8235,0.8462,0.8750,0.8846,0.8237,1,29
2,0.9048,0.8000,1.0000,0.8889,0.8462,1.0000,0.9135,0.8389,2,24
3,0.9524,0.8889,1.0000,0.9412,0.9231,1.0000,0.9423,0.8755,3,15
4,0.9524,0.8889,1.0000,0.9412,0.9231,1.0000,0.9615,0.9318,4,19
5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,14
6,0.9048,1.0000,0.7500,0.8571,1.0000,0.7500,0.8942,0.9276,6,11
7,0.9524,1.0000,0.8750,0.9333,1.0000,0.8750,0.9519,0.9519,7,13
8,0.8571,0.8571,0.7500,0.8000,0.9231,0.7500,0.9231,0.9144,8,21
9,0.9500,1.0000,0.8571,0.9231,1.0000,0.8571,0.9670,0.9571,9,20
10,0.9500,0.8750,1.0000,0.9333,0.9231,1.0000,0.9670,0.9379,10,35
11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,11,28
12,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12,22
13,0.8500,0.7500,0.8571,0.8000,0.8462,0.8571,0.9231,0.8690,13,14
14,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,14,18
15,0.8500,0.8333,0.7143,0.7692,0.9231,0.7143,0.8462,0.8445,15,13
16,0.9000,0.8750,0.8750,0.8750,0.9167,0.8750,0.9375,0.9249,16,35
17,0.9000,1.0000,0.7500,0.8571,1.0000,0.7500,0.9479,0.9381,17,19
18,0.9000,1.0000,0.7500,0.8571,1.0000,0.7500,0.8750,0.8963,18,26
19,0.9000,0.8000,1.0000,0.8889,0.8333,1.0000,0.9479,0.9068,19,17
20,0.9500,1.0000,0.8750,0.9333,1.0000,0.8750,0.9479,0.9519,20,25
