Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
1,0.8571,0.8571,0.7500,0.8000,0.9231,0.7500,0.9135,0.8432,1,27
2,0.9524,0.8889,1.0000,0.9412,0.9231,1.0000,0.9615,0.9318,2,27
3,0.9048,0.8750,0.8750,0.8750,0.9231,0.8750,0.8654,0.8733,3,13
4,0.9524,0.8889,1.0000,0.9412,0.9231,1.0000,0.9808,0.9705,4,2
5,0.9048,0.8000,1.0000,0.8889,0.8462,1.0000,0.8750,0.7032,5,6
6,0.9048,1.0000,0.7500,0.8571,1.0000,0.7500,0.9231,0.9375,6,3
7,0.9524,1.0000,0.8750,0.9333,1.0000,0.8750,0.9423,0.9464,7,22
8,0.9524,0.8889,1.0000,0.9412,0.9231,1.0000,0.9615,0.9318,8,7
9,0.8000,1.0000,0.4286,0.6000,1.0000,0.4286,0.8791,0.8235,9,3
10,0.9000,0.8571,0.8571,0.8571,0.9231,0.8571,0.9670,0.9478,10,4
11,0.8500,1.0000,0.5714,0.7273,1.0000,0.5714,0.8901,0.8595,11,4
12,0.9500,0.8750,1.0000,0.9333,0.9231,1.0000,0.9780,0.9617,12,2
13,0.9500,1.0000,0.8571,0.9231,1.0000,0.8571,0.9890,0.9821,13,4
14,0.9500,0.8750,1.0000,0.9333,0.9231,1.0000,1.0000,1.0000,14,4
15,0.8500,1.0000,0.5714,0.7273,1.0000,0.5714,0.8242,0.8108,15,16
16,0.9000,0.8750,0.8750,0.8750,0.9167,0.8750,0.9167,0.8790,16,17
17,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,17,6
18,0.9000,0.8750,0.8750,0.8750,0.9167,0.8750,0.9167,0.8790,18,24
19,0.9000,0.8750,0.8750,0.8750,0.9167,0.8750,0.9167,0.9129,19,2
20,0.8500,0.7273,1.0000,0.8421,0.7500,1.0000,0.9479,0.9294,20,2
