Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
1,0.8095,0.8333,0.6250,0.7143,0.9231,0.6250,0.8365,0.7728,1,13
2,0.9048,0.8750,0.8750,0.8750,0.9231,0.8750,0.9038,0.9306,2,4
3,0.8095,0.8333,0.6250,0.7143,0.9231,0.6250,0.8558,0.7915,3,29
4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,32
5,0.9048,0.8750,0.8750,0.8750,0.9231,0.8750,0.9423,0.8957,5,11
6,0.9048,0.8750,0.8750,0.8750,0.9231,0.8750,0.9038,0.9182,6,17
7,0.8571,1.0000,0.6250,0.7692,1.0000,0.6250,0.8846,0.8784,7,14
8,0.9048,0.8000,1.0000,0.8889,0.8462,1.0000,0.9615,0.9318,8,25
9,0.9000,1.0000,0.7143,0.8333,1.0000,0.7143,0.9341,0.9123,9,6
10,0.8000,0.6667,0.8571,0.7500,0.7692,0.8571,0.8571,0.7287,10,4
11,0.7000,0.5556,0.7143,0.6250,0.6923,0.7143,0.7253,0.5794,11,2
12,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12,7
13,0.9000,0.8571,0.8571,0.8571,0.9231,0.8571,0.9670,0.9571,13,12
14,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,14,12
15,0.7500,0.7500,0.4286,0.5455,0.9231,0.4286,0.8022,0.7420,15,23
16,0.9000,1.0000,0.7500,0.8571,1.0000,0.7500,0.9167,0.9129,16,26
17,0.9500,0.8889,1.0000,0.9412,0.9167,1.0000,0.9583,0.9318,17,6
18,0.8500,1.0000,0.6250,0.7692,1.0000,0.6250,0.8542,0.8798,18,3
19,0.8500,0.8571,0.7500,0.8000,0.9167,0.7500,0.8854,0.8492,19,6
20,0.9000,1.0000,0.7500,0.8571,1.0000,0.7500,0.9375,0.9363,20,19
