Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
1,0.8780,0.9167,0.7333,0.8148,0.9615,0.7333,0.9179,0.8804,1,41
2,0.6585,0.5200,0.8667,0.6500,0.5385,0.8667,0.7462,0.5449,2,1
3,0.7073,0.6667,0.4000,0.5000,0.8846,0.4000,0.7615,0.6700,3,9
4,0.9024,1.0000,0.7333,0.8462,1.0000,0.7333,0.9385,0.9281,4,43
5,0.9268,0.9286,0.8667,0.8966,0.9615,0.8667,0.9692,0.9620,5,28
6,0.9756,0.9412,1.0000,0.9697,0.9600,1.0000,0.9825,0.9681,6,38
7,0.6098,0.0000,0.0000,0.0000,1.0000,0.0000,0.4250,0.4225,7,1
8,0.6829,0.5556,0.9375,0.6977,0.5200,0.9375,0.7350,0.5587,8,7
9,0.8500,0.9091,0.6667,0.7692,0.9600,0.6667,0.8880,0.8624,9,29
10,0.7250,0.7500,0.4000,0.5217,0.9200,0.4000,0.7547,0.6059,10,16
